"","en_ar_DEEPL","MatCoop"
"1336","لقد أدنت هذه القيود المفروضة على حرية حركة قوات حفظ السلام التابعة للأمم المتحدة.",0
"1337","وقد تم بالفعل نشر المجموعة المتقدمة من تلك الكتيبة وسرية من القوات الخاصة في ياموسوكرو وأبيدجان.",1
"1338","193. من أجل الاستجابة بفعالية للطبيعة غير المتماثلة للتهديد الإرهابي، من الضروري تعزيز التعاون من خلال إقامة تبادل مستمر للمعلومات بين وكالات إنفاذ القانون وأمن الحدود والاستخبارات.",1
"1339","167. سنت جميع دول المنطقة دون الإقليمية قوانين للهجرة وجوازات السفر لتنظيم الهجرة وأمن وثائق السفر، ووضعت إجراءات لإثبات الهوية الحقيقية للأشخاص قبل إصدار وثائق الهوية.",1
"1340","وقد أحضر العاملون في المجال الإنساني منتجات تنقية المياه إلى بانغي ويقومون بتوصيل الأدوية الضرورية ومستلزمات التوليد والجراحة، بالإضافة إلى المواد الغذائية إلى المستشفيات في المدينة.",0
"1341","يشير إلى الاستنتاجات التي أقرها الفريق العامل التابع لمجلس الأمن المعني بالأطفال والنزاع المسلح في [البلد المتضرر] ...، ويدعو جميع الأطراف إلى وضع حد للانتهاكات والاعتداءات الجسيمة المرتكبة ضد الأطفال في [البلد المتضرر]، ويحث ... الحكومة على وضع وتنفيذ خطة عمل ملموسة ومحددة زمنيا لوقف تجنيد الأطفال واستخدامهم، ويطلب إلى الأمين العام أن يواصل حواره مع ... الحكومة في هذا الصدد، ويكرر طلبه إلى الأمين العام أن يعزز عنصر حماية الطفل في [البعثة] وأن يكفل استمرار رصد حالة الأطفال في [البلد المتضرر] والإبلاغ عنها;",0
"1342","واصلت البعثة أنشطتها التوعوية في إطار استراتيجية ""الأمم المتحدة تهتم"".",1
"1343","17. وتسمح الاستثناءات من حظر السفر بالسفر عندما تقرر اللجنة أن هذا السفر مبرر على أساس الحاجة الإنسانية، بما في ذلك الالتزامات الدينية، أو عندما تخلص اللجنة إلى أن الإعفاء من شأنه أن يعزز أهداف قرارات المجلس من أجل السلام والمصالحة الوطنية في كوت ديفوار والاستقرار في المنطقة.",1
"1344","وتمت تغطية تكاليف مكتب اللجنة في عام 2008، والتي بلغت 000 364 دولار من حساب ""التكاليف الإدارية والتشغيلية"".",0
"1345","34. الحالة في كوت ديفوار (20 كانون الأول/ديسمبر 2002؛ 19 كانون الثاني/يناير 2011).",0
"1346","من ناحية أخرى، تُظهر شركة EECC أن آليات الدفع والإنفاذ الخاصة بتحديد الطرف الثالث للمطالبات الجماعية قد تمثل مشكلة كبيرة.",0
"1347","وفي جميع هذه المواقع، أُبلغ الفريق بأنه لم تكن هناك أي محاولات تجنيد في الآونة الأخيرة ولكن إذا اندلع النزاع مرة أخرى في كوت ديفوار فإن هذا قد يتغير.",1
"1348","وتدرك اللجنة أيضًا الحاجة إلى معالجة مسألة توافر سبل الانتصاف للأشخاص الذين عانوا نتيجة لأحداث أبريل/نيسان ومايو/أيار.",0
"1349","29. لم تجرم سوى دولتين فقط تمويل الإرهاب، لكن دولتين أخريين أدخلتا بعض الأحكام القانونية لمعالجة هذه المسألة.",1
"1350","وانطﻻقا مما تقدم، ترى وزارة خارجية جورجيا أن انسحاب اﻻتحاد الروسي من قرار مجلس رؤساء دول رابطة الدول المستقلة الصادر في ١٩ كانون الثاني/يناير ١٩٩٦ يخلق تهديدا خطيرا بزعزعة اﻻستقرار، ويغير إلى حد كبير الوضع المحيط بالنزاع ويقوض اﻹطار القانوني الذي يحدد شكل السﻻم لرابطة الدول المستقلة في منطقة النزاع.",0
"1351","وإذ يضع في اعتباره مسؤوليته الرئيسية بموجب ميثاق الأمم المتحدة عن صون السلم والأمن الدوليين، وإذ يؤكد أهمية اتخاذ تدابير تهدف إلى منع نشوب النزاعات وحلها،",1
"1352","إجراء تقييم شامل لأنشطة الجمعيات والمؤسسات الخيرية.",0
"1353","يقرر أن تكون ولاية [البعثة] كما يلي: ... (ت) مساعدة سلطات ... [البلد المتأثر] في وضع وتنفيذ برامج لنزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم وتفكيك الميليشيات وجماعات الدفاع الذاتي، بما يتسق مع أهداف المصالحة ومراعاة الاحتياجات الخاصة للأطفال المسرحين;",1
"1354",":: حتى 9 يونيو 2014، كان هناك 36 حالة إصابة مؤكدة بشلل الأطفال.",0
"1355","بدأت المحاكمة في 26 فبراير 2010",0
"1356","(أ) المشاركة بفعالية أكبر مع المنظمات الدولية والإقليمية العاملة في المنطقة (بما في ذلك منظمة معاهدة الأمن الجماعي، ومنظمة الأمن والتعاون في أوروبا، والهيكل الإقليمي لمكافحة الإرهاب التابع لمنظمة شنغهاي للتعاون، وكلية موظفي إدارة الحدود التابعة لمنظمة الأمن والتعاون في أوروبا في دوشانبي، طاجيكستان) من أجل التركيز على الأنشطة الموجهة نحو التغلب على أوجه القصور وتحسين تنفيذ القرار 1373 (2001);",1
"1357","وقد حقق المجتمع الدولي على النحو الواجب في بعض القضايا البارزة المتعلقة بالجريمة المنظمة، بما في ذلك الاتجار بالبشر والمخدرات، وتم تقديم الجناة إلى العدالة.",1
"1358","بلغ التضخم في الربع الأول من عام 2007 نسبة 1.5 في المائة فقط.",0
"1359","الأجهزة المتفجرة المرتجلة والمتفجرات محلية الصنع، مثل نترات الأمونيوم ونترات اليوريا. السيارات المفخخة.",0
"1360","مجلس جامعة الدول العربية,",0
"1361","7. ستواصل المديرية التنفيذية تعزيز تعاونها مع هيئات الأمم المتحدة ذات الصلة، بما في ذلك فريق الدعم التحليلي ورصد الجزاءات المنشأ عملا بقرار مجلس الأمن 1526 (2004) وفريق الخبراء الذي يساعد لجنة مجلس الأمن المنشأة عملا بالقرار 1540 (2004)، وكذلك مع مختلف المنظمات الدولية والإقليمية ودون الإقليمية، بما في ذلك في سياق زيارات اللجنة إلى الدول.",1
"1362","كانت الشاحنات تنقل القوات المسلحة الحكومية واستخدمت فيما بعد لنقل الممتلكات المنهوبة من القرية.",1
"1363","والواقع أن لجنة القرار 1540 تبدو في وضع جيد لتعزيز التعاون بين هذه الكيانات واستكشاف فرص التمويل.",1
"1364","22. يقرر إبقاء المسألة قيد نظره.",0
"1365","58. ولتحقيق عودة مستدامة وطوائف الأقليات القادرة على البقاء، سيلزم إجراء عملية لامركزية. ومن شأن ذلك أن يحسن قدرة الطوائف غير الألبانية في كوسوفو على حماية هويتها ومصادر رزقها، وبناء ثقتها في المستقبل وتشجيعها على المشاركة بفعالية أكبر في مؤسسات الحكم في كوسوفو.",1
"1366","من المهم التنسيق مع المؤسسات المالية الدولية الأخرى.",0
"1367","3. قُدمت ثلاث عشرة قضية جديدة إلى مكتب أمينة المظالم خلال الفترة المشمولة بالتقرير، وبذلك بلغ مجموع عدد التماسات الشطب من القائمة منذ إنشاء المكتب 49 التماسا في 31 تموز/يوليه 2013.",0
"1368","ورداً على تطور المطالبات، أوضح صاحب المطالبة أن إجمالي 200 حصان المذكور في شهادة التلقيح لا يشمل الخيول التي يقل عمرها عن 24 شهراً، أو الخيول التي ربما تكون قد لُقحت قبل شهر أو شهرين من ذلك، أو التي كانت تخضع لعلاج طبي.",0
"1369","يقوم البرنامج بجمع المعلومات على المستوى الوطني عن جميع الأشخاص الذين تم القبض عليهم أو المشتبه في تورطهم في جرائم الاحتيال المصرفي أو الاحتيال في بطاقات الائتمان أو جرائم وثائق السفر.",1
"1370","وإذ يرحب بإشراك المرأة في بعثات حفظ السلام في الوظائف المدنية والعسكرية والشرطية، وإذ يدرك أن النساء والأطفال المتضررين من النزاع المسلح قد يشعرون بمزيد من الأمان في العمل مع النساء في بعثات حفظ السلام والإبلاغ عن الانتهاكات التي يتعرضن لها، وأن وجود النساء العاملات في مجال حفظ السلام قد يشجع النساء المحليات على المشاركة في القوات المسلحة وقوات الأمن الوطنية، مما يساعد على بناء قطاع أمني يكون متاحا للجميع، ولا سيما النساء، ومستجيبا لهم.",1
"1371","يؤكد من جديد إدانته القاطعة لجميع أعمال الإرهاب وأساليبه وممارساته بوصفها أعمالاً إجرامية وغير مبررة، بغض النظر عن دوافعها، وبجميع أشكالها ومظاهرها، أينما ارتكبت وأياً كان مرتكبوها,",0
"1372","وتحدد المذكرة المفاهيمية الطريق إلى الأمام للتقييم المشترك للاحتياجات الصومالية وتتضمن مشاركة كبيرة من قبل الصوماليين في العملية، حيث يشارك في العملية كل من الحكومة والنظراء في المناطق والخبراء الدوليين من صوماليي الشتات.",1
"1373","22. وسُجلت الدفعة الأولى المكونة من 000 2 فرد من أفراد الميليشيا في غيغلو في حزيران/يونيه 2006، وتم بعد ذلك نزع سلاح 981 منهم وحصلوا على بدل شبكة أمان نقدية.",1
"1374","وعلى الرغم من التقدم المحرز بشكل عام، لا بد من الإشارة إلى أن الفقر والبطالة لا يزالان يشكلان تحديًا هائلاً، كما أكدت السيدة أميرة حق.",0
"1375","وكما هو موضح أدناه، فقد جمعت اللجنة مواد كثيرة جداً ترى أنها تثبت استخدام مصطلح الجنجويد، في السياق المحدود لولاية اللجنة، كمصطلح عام لوصف الميليشيات العربية التي تعمل تحت سلطة سلطات الدولة السودانية أو بدعم منها أو بتواطؤ أو تسامح معها، والتي تستفيد من الإفلات من العقاب على أفعالها.",1
"1376","(ح) تقديم إحاطة منتصف المدة إلى المجلس، عن طريق اللجنة، في غضون 90 يوما من إنشائه;",0
"1377","3. تنظيم وهيكل الجنجويد",0
"1378","""ويدعو مجلس الأمن جميع الأطراف في النزاعات المسلحة إلى الامتثال لالتزاماتها بموجب القانون الإنساني الدولي باحترام وحماية العاملين في المجال الطبي والامتناع عن مهاجمة العاملين في المجال الطبي، شريطة ألا تتخذ أي إجراء يؤثر سلباً على وضعهم كمدنيين، وعلى المرافق، وكذلك الامتناع عن استخدام البنية التحتية الطبية في القتال.",0
"1379","134. وناقش الفريق مجالات التعاون مع وحدة إجراءات مكافحة الإرهاب التابعة لمنظمة الأمن والتعاون في أوروبا، والمكتب الإقليمي لرابطة الدول المستقلة لآسيا الوسطى، والهيكل الإقليمي لمكافحة الإرهاب التابع لمنظمة شنغهاي للتعاون، وشرع في إجراء اتصالات مع منظمات إقليمية أخرى، مثل منظمة الدول الأمريكية التي أنشأت لجنة البلدان الأمريكية لمكافحة الإرهاب، والاتحاد الأفريقي الذي أنشأ مركزا لمكافحة الإرهاب في الجزائر العاصمة.",1
"1380","4. بدأت وحدة الاستخبارات المالية عملها في أوائل التسعينات. وقد أنشئت بموجب تشريع صدر لمعالجة مشكلة متزايدة تتعلق بغسل الأموال من جانب الجماعات الإجرامية المنظمة، وعُدلت في عام 2002 للتعامل مع قمع تمويل الإرهاب. و ""تجار النقد"" ملزمون بتحديد هوية عملائهم، والاحتفاظ بسجلات لتحديد هوية العميل ونشاط حساب العميل لمدة سبع سنوات على الأقل بعد إغلاق الحساب، وإبلاغ وحدة الاستخبارات المالية بالمعاملات النقدية الهامة (أكثر من 000 7 دولار)، والمعاملات المشبوهة، وتعليمات تحويل الأموال إلى داخل البلد أو خارجه.",1
"1381","وسيحل الجنرال تشاو محل الجنرال كورت موسغارد (الدنمارك)، الذي سيتخلى عن منصبه في 27 أغسطس/آب 2007.",0
"1382","وأجرى الفريق تحقيقا في توريد هذه المركبات إلى شمال كوت ديفوار، لكنه تعذر عليه إجراء فحص دقيق لمركبات القوات الجديدة، رغم أنه التقط صورا لعدد منها في قافلة عسكرية في بواكيه.",1
"1383","المقرر عقدها يوم الجمعة، 20 كانون الأول/ديسمبر 2002، الساعة 40/7 مساءً",0
"1384","17. سيواصل مكتب الإعلام والإدارة تعزيز وتحديث موقع اللجنة على شبكة الإنترنت وزيادة عدد الوصلات الشبكية المتاحة لمواقع الأمم المتحدة والكيانات الأخرى المكلفة بولايات في مجال مكافحة الإرهاب.",1
"1385","فعلى سبيل المثال، يوجد في أوروبا الاتحاد الأوروبي واتفاقية شنغن؛ وفي أفريقيا، الجماعة الاقتصادية لدول غرب أفريقيا (ECOWAS) والجماعة الإنمائية للجنوب الأفريقي (SADC)؛ وفي آسيا، رابطة دول جنوب شرق آسيا (ASEAN) ورابطة الدول المستقلة (CIS); أمريكا الشمالية، واتفاقية التجارة الحرة لأمريكا الشمالية (نافتا)؛ وأمريكا الوسطى، ومنظومة التكامل لأمريكا الوسطى (سيكا)؛ وأمريكا الجنوبية، وجماعة دول الأنديز والسوق المشتركة لبلدان المخروط الجنوبي، اللتين تتجهان نحو الاندماج لإنشاء جماعة دول أمريكا الجنوبية.",1
"1386","كما ورد في تقرير الأمين العام عن الحالة في أبخازيا، جورجيا (S/2005/657)، المؤرخ 19 تشرين الأول/أكتوبر 2005، حدثت منذ الصيف الماضي بعض التطورات الإيجابية في عملية تسوية الصراع في تلك المنطقة.",1
"1387","وفي الشهر الماضي، استمرت الزيادة في عدد الأشخاص المتأثرين بالنزاع في أزمة دارفور في هذا الاتجاه التصاعدي حيث تم تسجيل 62,000 نازح إضافي.",0
"1388","وتنشر الصحف اليومية مثل Fraternité Matin وNotre Voie المقربة من حزب الجبهة الشعبية الإيفوارية رسائل قومية وتحريض على الحرب الشاملة.",0
"1389","من المقرر إنشاء نظام يتم بموجبه إحالة ضحايا الاستغلال والانتهاك الجنسيين على أساس كل حالة على حدة إلى منظمة غير حكومية تقدم الدعم اللازم.",1
"1390","أظهرت المدارس في البصرة وميسان أعلى مستوى من التدهور بين جميع المحافظات المختارة للمسح.",0
"1391","S/RES/1828 (2008)، ص 12",0
"1392","وفي الوقت نفسه، تواصل الأمانة العامة استكشاف جميع الخيارات لتعزيز ودعم القدرات التشغيلية الحالية للبعثة في البيئة الصعبة في شمال مالي.",1
"1393","وبعد انتهاء البعثة الميدانية، أنشأت المفوضية السامية لحقوق الإنسان وجوداً للحماية بعد انتهاء البعثة في كوناكري لمدة ثلاثة أشهر لتقديم الدعم والمشورة للأشخاص الذين يواجهون تهديدات لسلامتهم ومنع الأعمال الانتقامية ضدهم.",1
"1394","العودة الآمنة والطوعية والكريمة والطوعية وإعادة الإدماج يدعو جميع الأطراف المعنية إلى ضمان أن تراعي جميع عمليات السلام واتفاقات السلام وخطط الإنعاش وإعادة الإعمار بعد انتهاء النزاع الاحتياجات الخاصة للنساء والأطفال وأن تشمل تدابير محددة لحماية المدنيين بما في ذلك ... '3' تهيئة الظروف المواتية لعودة اللاجئين والمشردين داخليا بصورة طوعية وآمنة وكريمة ومستدامة.",1
"1395","""ويشجع مجلس الأمن الدول الأعضاء على مواصلة التعاون مع بعضها البعض في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويؤكد المسؤولية الرئيسية للسلطات الصومالية في مكافحة القرصنة والسطو المسلح في البحر قبالة سواحل الصومال، ويطلب إلى السلطات الصومالية أن تقوم، بمساعدة من الأمين العام وكيانات الأمم المتحدة ذات الصلة، بإصدار مجموعة كاملة من قوانين مكافحة القرصنة دون مزيد من التأخير، وإعلان منطقة اقتصادية خالصة وفقا لاتفاقية الأمم المتحدة لقانون البحار.",0
"1396","أ. جمع ومعالجة بيانات الأجانب الذين يدخلون أو يغادرون أراضي إندونيسيا;",0
"1397","6. الصراع المسلح المعاصر هو السبب الرئيسي لفرار الناس من ديارهم، وهو الآن السبب الأكثر شيوعا لانعدام الأمن الغذائي.",0
"1398","(هـ) مختلف مهام الرصد والتحقق;",0
"1399","وكان من المقرر أيضاً جمع وتحليل مواد أساسية أخرى من أجل تحديد القضايا التي أسهمت في الأزمة. ثم تقوم اللجنة بعد ذلك بالتحقق من صحة المعلومات الواردة في هذه المواد والتقارير، وكذلك التثبت من حقائق أخرى، عن طريق إجراء مقابلات مع الشهود والمسؤولين وغيرهم من الأشخاص الذين يشغلون مناصب السلطة، وكذلك الأشخاص المحتجزين لدى الشرطة أو المحتجزين في السجون، وعن طريق زيارة الأماكن التي قيل إن جرائم ارتكبت فيها أو وقعت فيها حوادث أخرى.",1
"1400",":: :: الاجتماعات التشاورية التي عقدت مع العديد من الشركاء الذين أقروا بأهمية برنامج الاستثمار ذي الأولوية وأعربوا عن التزامهم بدعم مجموعة دول الساحل الخمس فيما يتعلق بتمويل البرنامج وإنشاء الأمانة الدائمة، بما في ذلك البنك الدولي وبنك التنمية الأفريقي والبنك الإسلامي للتنمية والصناديق والبنوك العربية والاتحاد الأوروبي والأمم المتحدة. وقد أشاد هؤلاء الشركاء بالطاقة التي تتحلى بها مجموعة دول الساحل الخمس وبالقيادة القوية لرؤساء الدول، كما يتضح من نهجهم المتميز في التعامل مع التحديات الرئيسية في منطقة الساحل، ولا سيما في مجالي الأمن والتنمية.",0
"1401","المنظمات الدولية والإقليمية: أمانة الجماعة الكاريبية، والمفوضية الأوروبية، والدائرة الأوروبية للشؤون الخارجية، ومنظمة الأمن والتعاون في أوروبا، ومنظمة حظر الأسلحة الكيميائية، وفريق الخبراء التابع للجنة مجلس الأمن المنشأة عملا بالقرار 1737 (2006)، ومكتب شؤون نزع السلاح التابع للأمانة العامة للأمم المتحدة، واللجنة المنشأة عملا بالقرار 1540 (2004)، وفريق الخبراء، والمنظمة الدولية للشرطة الجنائية، ومنظمة الجمارك العالمية.",1
"1402","1. يغطي هذا التقرير المقدم من لجنة مجلس الأمن المنشأة عملا بالقرار 1518 (2003) الفترة من 1 كانون الثاني/يناير إلى 31 كانون الأول/ديسمبر 2009.",0
"1403","(أ) رقم جواز السفر أو رقم وثيقة سفر الفرد المدرج في القائمة;",0
"1404","المقرر عقدها يوم الأحد، 30 تموز/يوليه 2006، الساعة 8:30 مساءً",0
"1405","وبهدف مواءمة التشريعات الوطنية وإعطاء قرارات الأمم المتحدة لمكافحة الإرهاب قوة ملزمة، استضافت لجنة مكافحة الإرهاب في 15 كانون الأول/ديسمبر 2010 اجتماعاً لخبراء من الدول الأعضاء في الاتحاد الأفريقي للنظر في مشروع قانون نموذجي بشأن مكافحة الإرهاب.",0
"1406","ونتيجة لذلك، ستخضع المعاملات المشبوهة بتمويل الأعمال الإرهابية لنفس نظام الإبلاغ والتعليق الذي تخضع له المعاملات المشبوهة بغسل الأموال.",1
"1407","وينبغي للدول الأعضاء أن تواصل النظر بفعالية في إدراج أسماء الأفراد الرئيسيين الذين لهم دور فعال في تقديم التدريب أو التمكين من تجنيد المنتسبين إلى تنظيم القاعدة.",0
"1408","وتحدث الشاهدان اللذان شاركا في التحقيق، وهما السيد دونغيوك والسيدة لي، عن تجاربهما الشخصية في جمهورية كوريا الشعبية الديمقراطية قبل أن يهربا كلاجئين.",0
"1409","تقرير الأمين العام المقدم عملا بالفقرة 6 من القرار 1883 (2009) (S/2009/585).",0
"1410","لم ترسخ جميع الدول مبدأ التسليم أو المحاكمة في القانون المحلي وفقاً لأحكام الصكوك الدولية لمكافحة الإرهاب.",1
"1411","إجراءات الإغاثة والخدمات الاجتماعية التي تراعي الفوارق بين الجنسين ومعايير الأهلية. E.1. وضع وتنفيذ وتقييم السياسات والاستراتيجيات المتعلقة بتعميم مراعاة المنظور الجنساني في جميع برامج إعادة الإعمار وإعادة التأهيل بعد انتهاء الصراع.",1
"1412","28. وواصلت المنظمة الدولية للهجرة دعم تطوير دائرة الهجرة التابعة للشرطة الوطنية من خلال برنامج واسع النطاق لبناء القدرات، وذلك بتقديم الدعم القانوني التقني لتنقيح قانون الهجرة واللجوء، والمساعدة في إنشاء نظام معلومات لإدارة الحدود.",1
"1413","ينتج عن هذا الحساب مبلغ 628,598 دولار أمريكي فيما يتعلق بمشروع ساعة برج بغداد.",0
"1414","B. القواعد الملزمة للمتمردين 172. تتمتع حركة/جيش تحرير السودان وحركة العدل والمساواة، شأنهما شأن جميع المتمردين الذين بلغوا عتبة معينة من التنظيم والاستقرار والسيطرة الفعلية على الأراضي، بالشخصية القانونية الدولية وبالتالي فهما ملزمتان بقواعد القانون الدولي العرفي ذات الصلة بالمنازعات المسلحة الداخلية المشار إليها أعلاه. وينطبق الشيء نفسه على الأرجح على الحركة الوطنية للإصلاح والتنمية.",0
"1415","""ويحيط مجلس الأمن علما مع الاهتمام بالاقتراح الهام الذي قدمه الأمين العام بإنشاء لجنة لبناء السلام ويشاطره الهدف المتمثل في تحسين قدرة الأمم المتحدة على التنسيق مع الجهات المانحة والبلدان المساهمة بقوات وعلى الاضطلاع بأنشطة بناء السلام، ولا سيما منذ بدء عمليات حفظ السلام مرورا بتحقيق الاستقرار وإعادة الإعمار والتنمية.",1
"1416","الإخوة الأعزاء، أصحاب الفخامة والسمو والسعادة,",0
"1417","يحث الدول الأعضاء، وفقا لبرنامج عمل الأمم المتحدة المتعلق بالأسلحة الصغيرة والأسلحة الخفيفة لمنع الاتجار غير المشروع بالأسلحة الصغيرة والأسلحة الخفيفة من جميع جوانبه ومكافحته والقضاء عليه، على اتخاذ إجراءات فعالة من خلال جملة أمور منها تسوية النزاعات ووضع وتنفيذ تشريعات وطنية تتسق مع المسؤوليات القائمة للدول بموجب القانون الدولي ذي الصلة، وذلك لمكافحة الاتجار غير المشروع بالأسلحة الصغيرة لدى الأطراف في النزاعات المسلحة التي لا تحترم احتراما كاملا الأحكام ذات الصلة من القانون الدولي الساري المتعلقة بحقوق الأطفال في النزاعات المسلحة وحمايتهم.",1
"1418","إدماج المنظورات الجنسانية في تصميم وتنفيذ التقييمات البيئية في مرحلة ما بعد النزاع.",1
"1419","والأصناف التي يتم إنزالها هي التونة والبونيتو والماكريل والحبار وسمك القرش وجراد البحر والروبيان.",0
"1420","ولطالما كانت الأمم المتحدة والحكومات والمنظمات الدولية والإقليمية في طليعة هذه الجهود.",0
"1421","(ب) مواصلة تحديد احتياجات الدول فيما يتعلق بتعزيز المؤسسات وتدعيم سيادة القانون، وإدماج حقوق الإنسان وسيادة القانون بطريقة استباقية في توصياتها المتعلقة بالمساعدة التقنية المقدمة إلى الدول بهدف تعزيز النظم الوطنية لتقديم الإرهابيين إلى العدالة وتحسين التعاون الدولي;",1
"1422","وقد أنشأ عدد قليل جداً من الدول وحدات مخصصة أو متخصصة في إنفاذ القانون لمكافحة الإرهاب.",0
"1423","يطالب بإنهاء العنف من جميع الأطراف، والهجمات على المدنيين وقوات حفظ السلام والعاملين في المجال الإنساني، والانتهاكات الأخرى لحقوق الإنسان والقانون الإنساني الدولي ...",0
"1424","62. ولاحظت إحدى الدول أن أفضل طريقة لتحقيق هذا الهدف هي غرس الإحساس بالواجب المدني والاعتراف بأن على الجمهور أن يبلغ سلطات إنفاذ القانون بشواغله.",1
"1425","4. يحث المديرية التنفيذية للجنة مكافحة الإرهاب على مواصلة تعزيز دورها في تيسير تقديم المساعدة التقنية لتنفيذ القرار 1373 (2001) بهدف زيادة قدرات الدول الأعضاء والمناطق في مجال مكافحة الإرهاب عن طريق تلبية احتياجاتها في مجال مكافحة الإرهاب، بالتعاون الوثيق مع فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب، وكذلك مع مقدمي المساعدة الثنائية والمتعددة الأطراف، ويرحب بالنهج المركز والإقليمي الذي تتبعه المديرية التنفيذية في هذا العمل;",1
"1426","وفي هذا الصدد، وعملاً ببيان مجلس السلام والأمن الصادر في 25 تشرين الثاني/نوفمبر 2014، نطلب من المفوضية وبلدان المنطقة مضاعفة جهودها المشتركة لحشد الدعم الدولي اللازم، بما في ذلك اعتماد مجلس الأمن التابع للأمم المتحدة قراراً يدعم إنشاء ونشر قوة العمل المشتركة المتعددة الجنسيات، فضلاً عن إنشاء صندوق استئماني.",0
"1427","وبالإضافة إلى ذلك، يطبق الاتحاد الأوروبي نظاماً فوق وطني يهدف إلى ضمان تجميد أموال الإرهابيين وأصولهم داخل جميع الدول الأعضاء فيه.",1
"1428","في كوستي، مرّ أكثر من 10,000 شخص عبر مركز العبور منذ يناير 2010، في تحركات عفوية إلى أماكن إقامتهم السابقة، التي تقع في المقام الأول في ولايات أبيي وأعالي النيل وجنوب كردفان وواراب وشمال بحر الغزال.",0
"1429",":: تُمنح استثناءات لتوريد الأسلحة والأعتدة الفتاكة ذات الصلة إلى قوات الأمن الإيفوارية، المخصصة حصرا لدعم عملية إصلاح قطاع الأمن الإيفواري أو استخدامها في هذه العملية، على النحو الذي أُبلغت به اللجنة مسبقا.",1
"1430","ولذلك، يشرفني، باسم جماعة شرق أفريقيا، أن أنقل هذا الموقف المشترك، وأن أطلب، علاوة على ذلك، أن أطلب توجيه انتباه مجلس الأمن التابع للأمم المتحدة إليه للنظر فيه.",0
"1431","وعلاوة على ذلك، اتفق المشاركون على تكثيف الضغط من أجل نزع سلاح الميليشيات العاملة في شرق جمهورية الكونغو الديمقراطية والتفاوض على معاهدات ثنائية لتسليم المجرمين فيما يتعلق بزعماء الميليشيات المتبقين.",0
"1432","564. تمشيا مع التعليق الوارد أعلاه بشأن هيكل الجماعات المتمردة، جمعت اللجنة ما يكفي من المواد الموثوقة للإشارة إلى أربعة أفراد يشغلون مناصب هامة داخل مختلف الجماعات المتمردة قد يشتبه في مسؤوليتهم عن عدم منع أو قمع ارتكاب المتمردين للجرائم عن علم.",1
"1433","ودون إنشاء أي التزام دولي جديد، يكرر هذا الصك غير الملزم التزام الدول بضمان احترام القانون الإنساني الدولي وقانون حقوق الإنسان الدولي وتنفيذه من خلال التشريعات الوطنية، ويركز على دور الدول في إتاحة سبل انتصاف كافية وفعالة وسريعة ومناسبة، بما في ذلك التعويضات للضحايا.",1
"1434","(3) يعاقب الجاني بالسجن لمدة تتراوح بين عشر سنوات وخمس عشرة سنة مع مصادرة الممتلكات حسبما تراه المحكمة مناسباً، أو بعقوبة استثنائية,",0
"1435","كانت أولى قراراته تعيين مساعد قائد شرطة بيروت، اللواء ناجي ملاعب، كمسؤول عن مكان الحادث، وتكليفه بمهمة إزالة جميع الجثث والجرحى من مكان الحادث، وإطفاء الحرائق، وبعد ذلك سحب جميع الأشخاص من مكان الحادث وإغلاقه [إفادة شاهد].",1
"1436","غادرت المجموعة الأولى المكونة من ستة مفتشين فندق القناة في بغداد في الساعة 8:30 صباحاً ووصلت إلى كلية الطب في الجامعة المستنصرية الواقعة في منطقة القادسية في بغداد.",0
"1437",":: 22 كانون الأول/ديسمبر 2001، وصل غوس كوينهوفن إلى مونروفيا قادما من أبيدجان.",0
"1438","36. وفي حالات أخرى، اضطلعت البعثات السياسية الخاصة التابعة للمجلس بدور هام في مساعدة الدول على تقليص الحيز الاستراتيجي المتاح للجماعات الإرهابية من خلال المشاركة في الجريمة العابرة للحدود.",1
"1439","وفي حين أعرب عن اعتقاده بأن فرقة العمل المعنية بالتنفيذ في مجال مكافحة الإرهاب كان لها دور هام في هذا المجال، إلا أنه ينبغي الاعتراف بأن لجان المجلس المعنية بمكافحة الإرهاب قد عمقت العمل في هذه المسألة وجعلته أكثر فعالية من خلال نظم الإبلاغ وبعثات التقييم وتيسير المساعدة التقنية.",0
"1440","""إن توفير وسائل ملائمة ومرنة لدعم السلام الانتقالي وأنشطة إدارة الأزمات، مثل حماية المدنيين، بما في ذلك موظفي الأمم المتحدة والعاملين في المجال الإنساني، ونزع سلاح المقاتلين السابقين وتسريحهم وإعادة إدماجهم، وإنهاء الإفلات من العقاب، وبناء المؤسسات العامة والعدالة الانتقالية، فضلاً عن تعزيز وحماية حقوق الإنسان وإدماج المنظور الجنساني، هي أمور ضرورية لضمان سلام دائم بعد انتهاء النزاع.",1
"1441","أصبحت أغلبية كبيرة من الدول الأعضاء أطرافاً في 10 صكوك أو أكثر.",0
"1442","كما كان تجديد السجون ومراكز الاحتجاز في كوسوفو، التي كانت في حالة سيئة للغاية، أولوية قصوى بالنسبة لإدارة العدل التابعة لبعثة الأمم المتحدة للإدارة المؤقتة في كوسوفو.",1
