"","ar_en_DEEPL","VerCoop"
"1258","In this regard, we request the African Union Commission, in close collaboration with ECOWAS and with the support of international partners, including the United Nations, the European Union and other relevant international stakeholders, to take all necessary measures, including the convening in Mali, no later than February 2015, of a meeting of Ministers of Defense and Security, Chiefs of Staff and Heads of Intelligence and Security Services of the countries of the region, to undertake the necessary studies for the establishment of these mechanisms.",1
"1259","30. On March 18, the commanders of the Presidential Guard and the Presidential Security Division sent a letter to the Minister of Internal Security declaring that the areas around the Presidential Palace were a âred zoneâ and that anyone caught there would be considered an enemy combatant and would be treated as such, i.e., shot without warning.",0
"1260","Council members agreed that the root causes of the conflict needed to be addressed and that coordinated responses involving all relevant UN organs were needed.",1
"1261","Recalling the responsibilities of States to end impunity and prosecute those responsible for genocide, crimes against humanity, war crimes and other heinous crimes against civilians, and noting with concern, in this regard, that only a limited number of perpetrators of sexual violence have been brought to justice, while recognizing that national justice systems can be significantly weakened in conflict and post-conflict situations.",1
"1262","It has set up military training camps in the greater Mogadishu area, including the Lanta Boro and Hilweyne districts, and has sent weapons obtained at the Bakara arms market to these camps.",0
"1263","Any open or unresolved issues or emerging issues related to the review of mandates could be addressed within the Council again through an appropriate mechanism.",0
"1264","This is in addition to other equipment such as handheld baggage scanners and passenger security gates.",0
"1265","However, the security situation remains a cause for concern for all, although the number of security-related incidents decreased in December 2011 and January 2012, compared to the previous two-month period last year.",0
"1266","These changes, in addition to bringing renewed hope to the people of the Republic, have provided a new opportunity for MINURSO to improve its consultations with the federal authorities and engage in constructive dialog on matters of mutual concern.",1
"1267","Also, although the overall security situation has remained calm and peaceful since Timor-Leste officially assumed full responsibility for security on 20 May, smuggling, illicit trafficking and illegal border crossings should be seen as a cause for concern, as should tensions related to the demonstrations in Dili last July.",0
"1268","B. Contempt judgments rendered between May 16 and November 15, 2014",0
"1269","The Group of Experts recommended, among other things, the establishment of an independent international mechanism with concurrent mandates to monitor the domestic accountability process and conduct independent investigations.",1
"1270","IV. Claims..... 25-76 8",0
"1271","In a further communication, the Ministry withdrew part of this claim item in the amount of USD 12,000 (relating to documents).",0
"1272","Some 1.8 million people have been forcibly displaced and have become refugees or internally displaced and are in need of protection.",0
"1273","More broadly, the Internet has enabled al-Qaeda and its affiliates to disseminate propaganda to a global audience and thereby initiate the indoctrination of potential recruits, including by attracting them to al-Qaeda-affiliated websites.",0
"1274","The situation in Africa, Asia and Europe",0
"1275","The maintenance phase usually begins when the business owner first receives the project and begins operating or using it.",0
"1276","The Security Council welcomes the peaceful conclusion of the registration process for the Southern Sudan referendum in Sudan, and encourages the parties to continue this momentum towards the peaceful, credible and peaceful holding of the referendums on January 9, 2011, reflecting the will of the people.",1
"1277","The recent approval to install six additional gas turbine units before the end of August 1999, mainly at the Mulla Abdullah power plant, will provide an additional 220 MW of capacity to the national grid.",0
"1278","69. Five States in the subregion have introduced extradition laws and six States have established effective information-sharing mechanisms.",0
"1279","The field of refugees is governed by the 1951 Geneva Convention relating to the Status of Refugees and the Law of Georgia on Refugees (February 18, 1998).",0
"1280","The equipment lists are long and can be summarized as follows:",0
"1281","24. A midterm review of the joint vision strategy was finalized in September 2011, following consultations with the Government. The review highlighted the contribution of the United Nations family to the implementation of the Government's Agenda for Change and provided guidance towards a programmatic approach that allows for greater synergy and flexibility in United Nations activities.",1
"1282","In particular, he recommends that the Committee amend paragraph 6 (i) of its guidelines to automatically review each year the names of individuals confirmed dead, in addition to any names selected by the Committee from the set of entries that have not been updated for four years or more, unless a Committee member specifically requests that the name of a reportedly deceased person not be considered.",1
"1283","All countries in this region are members of the Organization of American States, which provides regional mechanisms for policy and operational cooperation.",0
"1284","Emphasizing in this context the importance of further progress by the Government of [the affected country] in ending impunity and strengthening judicial institutions, the rule of law and respect for human rights within [the affected country], including the human rights of women and girls, and in the reconstruction and reform of the prison sector in [the affected country].",1
"1285","Article 21, paragraph 2, of the annex to Security Council resolution 1757 (2007) states that if the activities of the Special Tribunal are not completed before the end of its current mandate, âthe agreement shall be extended [...] for an additional period (or periods) to be determined by the Secretary-General in consultation with the [Lebanese] Government and the Security Councilâ.",1
"1286","âThe Security Council stresses the importance of the parties to the CPA being able to make rapid progress towards organizing the Abyei referendum, resolving outstanding CPA issues, and resolving the remaining critical post-referendum issues peacefully and to the benefit of all parties, including borders, security, citizenship, debt, assets, currency, and natural resources.",1
"1287","This is the essence of the humanitarian tradition of CÃ´te d'Ivoire, a society with a strong democratic spirit that yearns for the rule of law and respect for the human rights of all, without distinction of nationality or origin.",1
"1288","The Chair of the panel, JosÃ© Ramos-Horta, led the discussions on behalf of the panel, noting that in the early phase of its work, the panel will focus on listening to the views of all Member States as they collectively contribute to peace and security, with consultations also including General Assembly committees, regional organizations, and troop- and police-contributing countries (troop- and police-contributing countries).",1
"1289","âThe Security Council stresses that regional and subregional organizations have an important role to play in addressing the illicit trade in small arms and light weapons, and that it is necessary to take into account, as appropriate, regional instruments that enable States to identify and trace illicit small arms and light weapons in the mandates of peacekeeping operations.",1
"1290","140. During some of its visits, particularly to some of the least developed States, the Team found that national agencies working in the field of counter-terrorism are so underfunded, particularly in the area of border security, that even relatively high-ranking officials do not have access to computers and other relevant technology, and others have insufficient or no staff at all to carry out essential tasks.",0
"1291","The Committee is also considering the possibility of collective reporting at the regional level, and has asked the Monitoring Team to explore this option further.",1
"1292","I urge donors to explore options to support Sudan's post-referendum demobilization, disarmament and reintegration efforts.",1
"1293","Only two of these ships were registered to the same Sabid Shipping Company.",0
"1294","74. European Union member States are also obliged to criminalize âpublic incitementâ pursuant to the 2008 amendments to the 2002 European Union Council Framework Decision on Combating Terrorism.",0
"1295","To be held on Wednesday, January 31, 2001, at 1.40 p.m.",0
"1296","Despite this, there used to be a unified team of legal agencies. This team included senior officials from the aforementioned agencies.",0
"1297","(c) Liaise with the Government of ... [the affected country] and UNHCR, in support of their efforts to relocate refugee camps close to the border, and provide logistical assistance for that purpose to UNHCR, within available resources and on a cost-recovery basis.",0
"1298","The European Union emphasized that any national Somali military force should be established within the framework of the National Security and Stabilization Plan and in line with the statement by the President of the Security Council of 14 July 2005.",1
"1299","The UNCT is currently engaged in a dialogue to review the action plan, including the review of 168 projects, and to further institutionalize development planning including also community-based approaches, such as the Reconciliation and Peaceful Coexistence Mechanism and UNDP-led conflict reduction programmes.",1
"1300","âThe Security Council emphasizes that stability and security remain key factors in the political and economic reconstruction efforts of the Transitional Government and the international community.",1
"1301","17. The weekly quadripartite meetings allowed the two committees, together with UNOMIG and the CIS peacekeeping force, to regularly discuss security-related matters in the conflict zone.",1
"1302","4. Decides to remain seized of the matter.",0
"1303","The eastern and southeastern states are facing an intensified attack from a combination of the above elements.",0
"1304","China should raise with the Supreme Leader and other high-level authorities of the Democratic People's Republic of Korea the issues of abduction and killing of children entitled to Chinese citizenship, forced abortions imposed on female repatriates, and other human rights violations targeting repatriates from China.",0
"1305","This invitation, as well as the cooperation received by the Special Rapporteur during his visit, highlighted the commitment of the Government of Burkina Faso to ensure that its counter-terrorism efforts are consistent with international human rights laws and standards.",1
"1306","11. Reaffirms its resolution 1373 (2001), in particular its requirement that all States must prevent and suppress the financing of terrorist acts and refrain from providing any form of support, active or passive, to entities or persons involved in terrorist acts, including by ending the recruitment of members of terrorist groups and preventing the supply of weapons to terrorists.",1
"1307","Building on the November 2010 workshop for Central Asia between the Executive Directorate and the Organization for Security and Cooperation in Europe on resolution 1624 (2005) and countering incitement to terrorist acts motivated by extremism and intolerance, through similar initiatives in other regions.",1
"1308","The dates on most of the overtime records were dropped during the cloning process.",0
"1309","That is why we welcome and fully support the significant and personal attention given to this issue by the UN Secretary-General of the United Nations.",0
"1310","States should develop a clear, complete, and consistent legal framework that categorizes terrorist acts as serious criminal acts, punishes them according to their seriousness, establishes jurisdiction, and assists courts in bringing terrorists to justice.",0
"1311","As I have said before, double standards in addressing terrorism and terrorist groups is another major concern and seriously undermines the international community's collective fight against terrorism.",0
"1312","The International Civil Aviation Organization (ICAO) and the International Air Transport Association (IATA) have also agreed to raise the visibility of the 1267 Committee's work and work to increase awareness of the Consolidated List among its members.",1
"1313","III. Lessons learned: Feedback from participants in the 2012 session",0
"1314","Preventing radicalization and radicalization of youth in particular should be a priority area for action.",1
"1315","1. Articles 2.3, 2.4 and 94.1 of the Charter of the United Nations.",0
"1316","(a) The African Union should be requested to maintain AMISOM forces in Somalia after the departure of Ethiopian forces and to provide the assistance outlined below to support the strengthening of AMISOM.",0
"1317","On November 6, 2014, regime forces fired shells at the Darat Izza school in Aleppo, injuring seven people and destroying three classrooms and the entire second floor.",0
"1318","The UDPCI demands that these abuses be brought to light and the perpetrators brought to justice.",1
"1319","Members of the various parties were members of the government.",0
"1320","First and foremost, security concerns remain paramount.",0
"1321","By January 31, 1,402 equity holders had included their properties in the plan.",0
"1322","C. Cooperation with the Counter-Terrorism Committee and the Committee established pursuant to resolution 1540 (2004)",1
"1323","The meeting also discussed ways and means of increasing pressure on foreign armed groups and steps to be taken by participating countries, the African Union and the Security Council in this regard.",0
"1324",":: held consultation meetings with several partners, including the World Bank, the African Development Bank, the Islamic Development Bank, Arab funds and banks, the European Union and the United Nations: :: Consultation meetings were held with several partners, including the World Bank, the African Development Bank, the Islamic Development Bank, Arab funds and banks, the European Union and the United Nations, who recognized the importance of the priority investment programme and expressed their commitment to assist the G5 to finance the programme and establish a permanent secretariat. These partners praised the potential energy of the G5 Sahel and the strong leadership shown by its Heads of State, as evidenced by their distinctive approach in dealing with the major challenges facing the Sahel region, especially in the areas of security and development.",1
"1325","Pristina has so far rejected every initiative in that regard.",0
"1326","At least 90 countries suffer from IEDs, and al-Qaeda and its affiliates share information and advice on how best to make and use them.",0
"1327","Seventeen countries said they did not consider themselves threatened, while three said they believed there was no regional threat.",1
"1328","45. Recognizes the need to maintain contact with relevant Security Council Committees, international organizations and expert groups, including the Committee established pursuant to resolution 1267 (1999), the Counter-Terrorism Committee, the United Nations Office on Drugs and Crime, the Counter-Terrorism Committee Executive Directorate, the Committee established pursuant to resolution 1540 (2004) and the Financial Action Task Force, particularly given the continued presence in the region and the negative impact this has on the Afghan conflict of Al-Qaida and any cell, affiliate, splinter group or derivative thereof.",1
"1329","Member States should continue to give serious consideration to designating individuals who provide training or enable the recruitment of Al-Qaida affiliates.",1
"1330","The country's economic and social life was in chaos. Côte d'Ivoire was living at a slow pace.",0
"1331","The Council emphasizes the importance and urgency of re-establishing justice and the rule of law in post-conflict societies, not only to overcome past injustices, but also to promote national reconciliation and help prevent future conflicts.",1
"1332","The gradual removal of the Green Line has been based on a comprehensive threat assessment; consultations with the Integrated Command Center; and an overall improvement in the security situation, in particular the assessment that the likelihood of military confrontation between the former belligerents is low.",1
"1333","âThe Security Council urges States and international organizations, as well as the private sector, to share evidence, information and intelligence, as appropriate, for counter-piracy law enforcement purposes, including with a view to ensuring effective prosecution of suspects and imprisonment of convicted pirates, and encourages current and future initiatives in this regard.",1
"1334","The Mission's four strategic priorities are building institutions and capacity at the management level; combating organized crime and corruption; achieving financial viability and sustainability; and strengthening police independence and accountability.",1
"1335","It would be remiss of the Council not to use these tools if the need arises.",0
"1336","The first installment will not be payable according to a specific date, but rather upon the company's completion of a specific phase of the work (i.e., the first installment will be payable upon completion of 50 percent of the work).",0
"1337","The Council was also briefed by the United Nations High Commissioner for Refugees on the link between forced population movement and international peace and security.",0
"1338","32. Requests the Secretary-General to include in his country-specific reports to the Council more comprehensive and detailed information on the protection of civilians in armed conflict, including on protection incidents and actions taken by parties to conflict to implement their obligations to respect and protect the civilian population, and to include information specific to the protection needs of refugees, internally displaced persons, women, children and other vulnerable groups.",0
"1339","(a) Reiterating its call upon parties to armed conflict listed in the annexes to the report of the Secretary-General on children and armed conflict that have not yet prepared and implemented action plans to halt the recruitment and use of children in violation of applicable international law to do so without further delay.",1
"1340","Several delegations were of the view that decisions to advance pending issues were painstakingly taken given the current internal situations, particularly the conflict in South Sudan.",0
"1341","I have the honor to inform you that the United Kingdom, in its capacity as President of the Security Council for the month of August, has decided to hold a briefing on 19 August in observance of World Humanitarian Day. The briefing will focus on the protection of humanitarian workers, under the agenda item on the protection of civilians in armed conflict.",1
"1342","States should ensure that counter-terrorism measures are appropriately managed and carried out by law enforcement agencies and establish dedicated counter-terrorism units to utilize expert capacity within their law enforcement institutions.",1
"1343","Specifically, the recruitment of persons for the purpose of committing terrorist acts is addressed in Law No. 535/2004 on Preventing and Combating Terrorism.",0
"1344","States have also strengthened the implementation of necessary counter-terrorism measures at the institutional level.",0
"1345","129. Beyond the immediate scope of the sanctions measures, delegations expressed particular interest in sharing their experiences on the reintegration of terrorists into society.",1
"1346","âThe Security Council reaffirms that terrorism in all its forms and manifestations constitutes one of the most serious threats to international peace and security and that any acts of terrorism are criminal and unjustifiable, regardless of their motivation, wherever, whenever and by whomever committed.",1
"1347","Visits by the President to selected countries 29. Pursuant to paragraph 37 of resolution 1822 (2008), the President undertook two visits in 2009, the first on 9 June 2009, at the invitation of the Russian Federation, where he attended a meeting of special intelligence services, security agencies and law enforcement organizations in Irkutsk, Russian Federation. On 8 and 9 October 2009, the President travelled to Brussels, Belgium, for discussions with officials of the European Union institutions on the implementation of the sanctions measures by the European Union and its 27 member States.",1
"1348","(b) Take steps to maximize assistance in terrorism cases to other States and build bridges between different legal systems.",1
"1349",") and its two Optional Protocols of 2000)",0
"1350","2. Reiterates that the authorities in Bosnia and Herzegovina bear the primary responsibility for further successful implementation of the peace process and that the continued willingness of the international community and major donors to assume the political, military and economic burden of implementation and reconstruction efforts will be determined by the compliance and active participation of all authorities in Bosnia and Herzegovina in implementing the Peace Agreement and rebuilding a civil society, in particular in full cooperation with the ICTY in strengthening common institutions and facilitating returns of refugees and displaced persons.",1
"1351","Reaffirming that continued international efforts to enhance dialogue and broaden understanding among civilizations, to prevent the indiscriminate targeting of different religions and cultures, and to address unresolved regional conflicts and global issues of all kinds, including development issues, will contribute to strengthening the international fight against terrorism.",1
"1352","7. Reaffirms that ending impunity is essential for societies in conflict or recovering from conflict to reconcile with the past abuses committed against civilians affected by armed conflict and to prevent such abuses in the future, draws attention to the full range of justice and reconciliation mechanisms that could be considered, including national, international and âmixedâ criminal tribunals and truth and reconciliation commissions, and notes that these mechanisms can promote not only individual responsibility for serious crimes, but also peace, truth, reconciliation and the rights of victims.",1
"1353",":: Regular coordination between civilian and military components of missions, and between missions and humanitarian actors: Regular coordination between the civilian and military components of missions, and between missions and humanitarian actors, to standardize expertise in the field of protection of civilians.",0
"1354","645. The Commission has decided to withhold the names of these persons from the public domain. This decision is based on three main reasons: (a) the importance of the principles of fair trial and respect for the rights of suspects; (b) the fact that the Commission has not been granted investigative or charging authority; and (c) the vital need to ensure that witnesses are protected from possible harassment or intimidation.",1
"1355","These two menus work best if they are kept separate.",0
"1356","Welcoming the establishment of the Office of the Ombudsperson pursuant to resolution 1904 (2009) and the strengthening of the Ombudsperson's mandate in resolution 1989 (2011), noting the important contribution of the Office of the Ombudsperson to providing additional integrity and transparency, recalling the Security Council's firm commitment to ensuring that the Office of the Ombudsperson can continue to play its role effectively in accordance with its mandate, and recalling also the Security Council's presidential statement of 28 February 2011 (S/PRST/2011/5).",0
"1357","The international community will need the capacity to move this process forward.",1
"1358","34. The transfer of areas subject to land adjustments will take place in six phases.",0
"1359","(Incentive payments to employees (SAR 3,562,429).",0
"1360","Audit certificates are expected to be issued by the auditing organizations of the member states.",0
"1361","113. The Group also believes, based on its overall analysis, that the Council may wish to request all States, in particular arms-exporting countries, to exercise the highest degree of responsibility in small arms and light weapons transactions to prevent the illicit transfer and re-export of arms and related materiel, in violation of the measures set out in the resolutions on Al-Qaida/Taliban.",1
"1362","âThe Security Council urges the DPRK to immediately return to the Six-Party Talks without precondition, work towards the swift implementation of the September 19, 2005 Joint Statement, and abandon all nuclear weapons and existing nuclear programs.",1
"1363","Also in the Bakool region in central Somalia, on June 10 and 11, clashes between militiamen from the Hadamo and Ogaden clans in the Bardi region killed at least four people and injured 10. On June 15, 16 people were killed and 20 injured in fighting between militiamen over land and grazing rights in the same area.",0
"1364","Background 2014 marks the fifteenth anniversary of the Security Council's work on the protection of civilians in armed conflict.",1
"1365","For example, a military unit, under orders from above, proceeds to arrest a number of enemy civilians in violation of international law; however, in the course of the military operation, a soldier kills or tortures one of the civilians in question.",0
"1366","In addition to being held responsible, under the principle of joint criminal enterprise, for crimes committed by other individuals during the attacks, these individuals could be suspected of indiscriminate attacks on civilians, which is a war crime.",0
"1367","See also, for example, S/RES/1325 (2000), op. 6; S/RES/1296 (2000), op. 19.",0
"1368","5. The Coordinator conducted three visits to the region (in February, April and May) that coincided with the meetings of the Technical Subcommittee and the Tripartite Commission. On 9 February 2011, he was received by Sheikh Mohammed Sabah Al-Salem Al-Sabah, Deputy Prime Minister and Minister for Foreign Affairs of Kuwait, who noted that the emerging spirit of cooperation between Iraq and Kuwait should be translated into practical, results-oriented steps to resolve the remaining issues, including the files on missing persons and property.",1
"1369","During the Janjaweed attack on the village of Mbarasa, West Darfur, in November 2003, 20 girls were abducted and taken to Amar camp.",0
"1370","The Security Council reiterates its call on parties to armed conflict [mentioned in the relevant report of the Secretary-General] to prepare, without further delay, if they have not already done so, time-bound and specific action plans to halt the recruitment and use of children in violation of applicable international law and to address all violations and abuses committed against children in close cooperation with [the Special Representative of the Secretary-General for Children and Armed Conflict], as well as with UNICEF and United Nations Country Task Forces on Monitoring and Reporting.",0
"1371","5. Mohammad Ahmad Al-Shteiwi, from Nimr, Daraa",0
"1372","Call for strict compliance by parties to armed conflict with the provisions of international humanitarian, human rights and refugee law, including in relation to the following points:",1
"1373","No license has been granted to import diamonds from Liberia.",0
"1374","8. The situation in Somalia (March 17, 1992; March 20, 2009).",0
"1375","This payment was made by states to their nationals who filed claims identified by the Commission as compensable.",0
"1376","Counter-terrorism legislation has also been adopted, giving judicial and prosecutorial authorities sufficient legal powers to prosecute terrorists.",0
"1377","In particular, consideration should be given to advertising vacancies more widely by targeting professional associations and changing the wording of language requirements.",1
"1378","We have called on the Council on several occasions to take action to compel Israel to cease its military attacks, ensure the protection of the civilian population and stop all illegal punitive measures through which it is causing a humanitarian catastrophe in the Gaza Strip.",0
"1379","At the 6897th meeting of the Security Council, held on December 20, 2012, in connection with the Council's consideration of the item entitled âPost-conflict peacebuildingâ, the President of the Security Council made the following statement on behalf of the Council:",1
"1380",":: An appeal to the Security Council to establish, in agreement with the African Union, an international force to neutralize armed groups and support national reconciliation and the establishment of stable democratic institutions in Libya",1
"1381","In addition, a mobile team visits remote communities, especially minority groups, who may not have access to the two centers.",1
"1382","Expresses its determination to require, where appropriate, parties to the conflict to make special arrangements to meet the protection and assistance needs of children, women and other vulnerable groups, including by promoting âimmunization daysâ and other opportunities for the safe and unhindered implementation of essential services.",1
"1383","Authorities have confirmed that there are no Ivorian refugees or camps in Ghana.",1
"1384","Maternal and child mortality rates remain very high, and overall immunization coverage is low (tuberculosis: 30%; polio: 22%; measles: 24%).",0
"1385","Seven countries have established sufficient jurisdiction to prosecute terrorism-related offenses in their legislation, another five have taken steps in this direction, and nine have insufficient information.",0
"1386","60. In its resolution 1783 (2007), the Security Council requested the Secretary-General to continue to take the necessary measures to ensure full compliance within the Mission with the United Nations zero-tolerance policy on sexual exploitation and abuse.",1
"1387","On 10 November, the Council was briefed in closed consultations by the Deputy Permanent Representative of Luxembourg to the United Nations, Olivier Maes, on behalf of the Chairman of the Security Council Committee established pursuant to resolution 1718 (2006) concerning the Democratic People's Republic of Korea, on the work of the Committee during the period from 5 August to 9 November. The briefing was provided in accordance with paragraph 12 (g) of resolution 1718 (2006).",1
"1388","In other words, residents who survived the attacks on the villages were not just killed in an effort to eradicate the group; they were forced to leave their homes and live together in areas chosen by the government.",0
"1389","I urge all Somali leaders to take the necessary steps to resolve their differences.",1
"1390","The Council and troop- and police-contributing countries heard briefings by Edmond Mulet, Assistant Secretary-General for Peacekeeping Operations, Abhijit Guha, Deputy Military Adviser, and Andrew Carpenter, Acting Police Adviser.",1
"1391","But the grave risk remains that as a result of this decision - which violates the Bonn and Berlin documents - the country will face an explosive situation fraught with new armed resistance and internal divisions in the power structures.",0
"1392","F-FDTL became the armed wing of the National Council of Resistance of Maubere (CNRM). This council included FRETILIN, UDT and other nationalist parties. As a result, FRETILIN lost absolute control over the politics of the resistance.",0
"1393","He posed key questions to guide the discussion on the Council's role in ensuring accountability, including the following: What lessons can be learned and good practices can be identified from the Council's efforts to ensure criminal accountability? What are the challenges for the various fact-finding mechanisms? How can greater importance be given to reparations for accountability? What further steps can the Council take to ensure accountability for violations committed in armed conflict?",1
"1394","The Council is considering the possibility of using the International Fact-Finding Commission established in accordance with Article 90 of Additional Protocol I to the Geneva Conventions.",1
"1395","Decides that [the Mission] shall have the following mandate in the order of prioritization set out below: Protection of civilians (g) To support the Government's efforts with international partners and neighboring countries to create conditions for the safe, voluntary and dignified return of internally displaced persons and refugees, or voluntary local integration or resettlement.",0
"1396","The Council could also explicitly require Member States to prevent listed individuals and entities from accessing, establishing or maintaining military or terrorist training facilities within their borders, thereby extending the scope of the arms embargo to include training and recruitment comprehensively.",1
"1397","There is an element of risk that attention will be diverted from these criteria to focus on the issue of territorial status.",0
"1398",":: Closer cooperation with other subsidiary bodies of the Council, specifically the Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and their experts: :: Closer cooperation with other subsidiary bodies of the Council, specifically the Committees established pursuant to resolutions 1267 (1999) and 1540 (2004) and their experts, including with regard to the exchange of information, visits and assistance as appropriate.",1
"1399","Encourages troop- and police-contributing countries, in consultation with the Secretary-General, to consider what measures they can take to enhance the awareness and responsiveness of their personnel participating in United Nations peacekeeping operations to protect civilians, including women and children, and to prevent sexual violence against women and girls in conflict and post-conflict situations, including, to the extent possible, deploying a greater proportion of women peacekeepers or police.",1
"1400","On 16 December, the Chairman of the Security Council Committee established pursuant to resolution 1591 (2005) concerning the Sudan and Permanent Representative of Colombia, NÃ©stor Osorio, reported to the Council on 90 days of the Committee's work.",0
"1401","28. Shortly after March 1, 2009:",0
"1402","However, day by day, they are clearly showing a more positive attitude towards the mission.",1
"1403","9. On 25 June 2008, the Committee held informal consultations with the Monitoring Group re-established pursuant to resolution 1811 (2008), and also discussed the Security Council's request in paragraphs 6 and 7 of resolution 1814 (2008) for recommendations on specific measures that the Council might impose on individuals and entities impeding the peace process or violating the arms embargo.",1
"1404","To be held on Thursday, July 7, 2005, at 12.50 p.m.",0
"1405","Additional costs (Iraq): Wages paid without work, rental payments (offices)",0
"1406","There was broad support for efforts to neutralize the threat posed by ADF and other armed groups in the eastern Democratic Republic of the Congo, including FDLR, as mandated in resolution 2147 (2014).",1
"1407","III. Implementation of the June 20, 2011 Agreement",0
"1408","I also condemn Hezbollah's reckless disregard for the wishes of Lebanon's elected government and the interests of the Lebanese people and the wider region.",0
"1409","The blockade must be lifted immediately to allow Gaza's civilian population access to water, work, commerce, medical care and education - access to their basic needs.",0
"1410","The budget for this one-year operation is estimated at $190 million.",0
"1411","11. Expresses its willingness to consider how peacekeeping mandates can better address the negative impact of armed conflict on civilians.",1
"1412","52. Allegations of rape of minors, including very young girls, remain a matter of serious concern. The Mission has regularly participated in the work of regional committees on sexual violence, as a means of strengthening support for child victims of rape.",0
"1413","This experience could be a practical mechanism for paying salaries in the future.",0
"1414","Welcoming and expressing support for the steps taken to conclude nuclear-weapon-free zone treaties, and reaffirming its conviction that the establishment of internationally recognized nuclear-weapon-free zones on the basis of arrangements freely arrived at among the States of the region concerned on a voluntary basis among the States of the region concerned, in accordance with the guidelines established by the United Nations Disarmament Commission in 1999, is supportive of global and regional peace and security, strengthens the non-proliferation regime, and contributes to the realization of nuclear disarmament objectives.",1
"1415","Only two of the three centers have since reopened.",0
"1416","460. In its recommendations, the National Commission proposed administrative and judicial measures, in particular that the causes of the conflict should be studied and that the administrative deficit, which was one of the factors that aggravated the conflict, should be corrected.",1
"1417","On behalf of the Chairperson of the Commission, Nkosazana Dlamini-Zuma, I am transmitting herewith the communiquÃ© adopted by the Peace and Security Council at the conclusion of the meeting (see enclosure).",1
"1418","13. Reports of children abducted during recent attacks on the civilian population illustrate the terrible price Darfur's children are paying in this civil war.",0
"1419","15. Expresses its readiness to consider the appropriateness and feasibility of establishing temporary security zones and safe corridors for the protection of civilians and the delivery of assistance in situations involving the threat of genocide, crimes against humanity and war crimes against civilian populations.",1
"1420","::: Fact-finding mechanisms should be established early enough in a crisis to enable them to contribute to the prevention of further violations.",1
"1421","Countries in this region face a serious transnational terrorist threat that requires concerted and coordinated regional efforts to address.",0
"1422","U.S. Senate records show that he was part of the Contra-Gate operation, receiving paychecks from both U.S. intelligence agencies and the U.S. State Department.",0
"1423","The Security Council also notes the importance of close cooperation within and between all government agencies and with international organizations in combating terrorism and incitement to terrorism.",1
"1424","Commercialization includes possession, as well as selling, importing, or exporting.",0
"1425","Reaffirming also its resolutions 1368 (2001) of 12 September 2001 and 1373 (2001) of 28 September 2001, and reiterating its support for international efforts to eradicate terrorism, in accordance with the Charter of the United Nations.",1
"1426","Council members unanimously expressed concern at the current state of the peace process and expressed the hope that the Group of Friends of the Secretary-General at its next meeting would be able to move the situation forward. Other issues",1
"1427","In terms of further cooperation, he suggested increasing the impact of the INTERPOL network through, for example, regional mechanisms for sharing information with law enforcement officers, as well as strengthening implementation guidance.",1
"1428","Beyond its immediate consequences, the attack on Aru Charo and nearby villages is of serious concern because it may signal the beginning of the militias' deliberate targeting of internally displaced populations and the inability, or unwillingness, of government forces to effectively protect the camps and villages where these displaced people reside.",0
"1429","The review examined 488 names of individuals, groups and entities subject to the Al-Qaida and Taliban sanctions regime in order to update entries or remove them from the List in cases where the Committee determines that they are no longer appropriate to remain on the List.",0
"1430","Letter dated December 22, 2009, from the Chairman of the Security Council Committee established pursuant to resolution 1518 (2003) addressed to the President of the Security Council",0
"1431","47. In addition to the marked increase in arms flows into Somalia, both sides are also very actively distributing arms and ammunition to their respective militias, equipping militiamen with individual combat equipment, securing and stockpiling food, medicine, fuel and other necessities for sustained fighting, organizing themselves into military-style structures, escalating militia recruitment and training and developing strategies and plans to militarily defeat the other side.",0
"1432","From the outset, efforts must be made to ensure coordination with law enforcement and other national authorities; develop appropriate national legal frameworks; and strengthen the capacity of judicial and law enforcement systems.",1
"1433","B. Counting and numbering boats and monitoring their movement from one area to another.",0
"1434","On behalf of the Security Council Committee established pursuant to resolution 751 (1992) concerning Somalia, and in accordance with paragraph 3 (i) of Security Council resolution 1587 (2005), I have the honour to transmit herewith the report of the Monitoring Group on Somalia (see enclosure).",1
"1435","Convinced also that a political settlement of the conflict would help to combat and facilitate the elimination of the scourge of terrorism and related activities that persist in the region.",0
"1436","71. Member States should be invited, in their tracing efforts, to utilize, as appropriate, the INTERPOL Global Police Communications System âI-24/7â and the INTERPOL Electronic Weapons Tracing System.",1
"1437","But urgent measures are needed to revitalize the brigade and at the same time ensure a more active contribution from the framework brigades both in terms of operations to neutralize armed groups and protect civilians.",1
"1438","Article 4, paragraph 1 of the decree prohibits the entry into or transit through Switzerland of the natural persons listed in the annex.",0
"1439","Members expressed their willingness to consider, in due course, updated reports on planning for a smooth transition to the Sustainable Development Assistance Framework by the end of the Bureau's mandate in May 2006.",1
"1440","The answer to this, in my view, is not to reduce spending on hybrid courts, but to direct more effort and funding to national post-conflict justice systems in general.",0
"1441","In addition, a number of Member States have provided material funding, technical expertise and significant assets to the Joint Mission, and several other Member States are expected to confirm their offers.",0
"1442","European Convention on the Suppression of Terrorism, signed on February 13, 1992; ratified by the Czechoslovak Federal Republic on April 15, 1992; entered into force on July 15, 1992.",0
"1443","The University Council at the summit level.",0
"1444",":: Consultation on and finalization of the draft constitution Consultation and finalization of the draft post-transition constitution",0
