"","ar_en_DEEPL","MatCoop"
"1418","The Committee duly completed its review before the new deadline.",1
"1419","Finally, the widespread institutional, cultural, ethnic, and spiritual diversity in societies currently undergoing profound historical change may lead to particular tensions and security concerns.",0
"1420","There is no defense policy to guide force development.",0
"1421","The first is that the court was established taking into account crimes that are potentially a threat to peace and security.",1
"1422","All countries in this region are members of the Organization of American States, which provides regional mechanisms for policy and operational cooperation.",1
"1423","- Between July 14 and 21, five inter-agency convoys reached Madamiyet Elsham, providing food, non-food items and hygiene kits to 30,000 people (20,000 inside Madamiyet Elsham and 10,000 in government-controlled areas of the town).",0
"1424","(ii) Investments include marketable securities and other negotiable financial instruments purchased by the Organization to produce income.",0
"1425","Consequently, troop- and police-contributing countries must ensure, through self-certification, that deploying personnel have received predeployment training in the protection of civilians.",1
"1426","60. Under the overall direction of Mission headquarters, the heads of the Mission's regional offices are responsible for developing and implementing regional action plans for the prevention of sexual exploitation and abuse in their respective regions.",1
"1427","57. The mission received information indicating that the death squads may be composed of individuals close to the Government, the Presidential Guard and a tribal militia from the President's ethnic group.",1
"1428","16. In an attempt to contain the Ebola outbreak, some West African countries have closed their borders and halted commercial flights to the three most affected States, Guinea, Liberia and Sierra Leone. CÃ´te d'Ivoire imposed restrictions on flights to and from the three countries on August 10, followed by the closure of land borders on August 22.",1
"1429","67. In conclusion, I would like to thank my Special Representative, Ameerah Haq, for her leadership, and all UNMIT staff and the United Nations country team for their continued efforts to support the people of Timor-Leste in their pursuit of peace, stability and development.",1
"1430","66. In order to combat the increasing rates of crimes committed at sea, the Maritime Organization for West and Central Africa, with the assistance of the World Maritime Organization, is working to strengthen cooperation among law enforcement agencies by establishing a network of coast guard units.",1
"1431","Bearing in mind its primary responsibility under the Charter of the United Nations for the maintenance of international peace and security, and emphasizing the importance of measures aimed at preventing and resolving conflicts.",1
"1432","Security Council members also condemned ongoing attacks targeting Yemeni security forces in Hadramawt on October 9 and in Bayda on October 8, aimed at undermining stability in Yemen.",0
"1433","68. I welcome the progress made in clearing mines and explosive remnants of war in Western Sahara.",1
"1434","Disturbing reports indicate that a limited number of children informally released from cantonment sites were forcibly re-recruited by the Maoist army or CPN (Maoist) organizations. Twelve cases were documented during the reporting period.",0
"1435","113. Despite those initiatives, regional counter-terrorism efforts continue to face significant challenges.",1
"1436","The resolution outlined a number of measures that member states are required to develop and implement, and established the Counter-Terrorism Committee (CTC) to monitor the implementation of these measures.",1
"1437","However, the participation of other minorities has been very encouraging, especially among the Kosovo Bosniak and Gorani communities.",0
"1438","The Mission is conducting its own investigations and supporting the efforts of the National Police in investigating the incident.",1
"1439","201. Calls were also made from this prepaid phone card to a number of well-known Lebanese and Syrian officials, for example, to three different phone numbers that were in turn connected to Mustafa Hamdan's cell phone in January, March and July 2005.",0
"1440","S/RES/2100 (2013), OP 28",0
"1441","The unit participates in multi-agency task forces established to conduct money laundering investigations and confirm that crimes have been committed, including the financing of terrorism.",1
"1442","5. The situation in Timor-Leste (December 15, 1975; February 26, 2010).",0
"1443","65. In late 2007, the regional administration in Jowhar (Middle Shabelle region) began a small-scale demobilization process.",0
"1444","Not every country has a stand-alone counterterrorism strategy, but all have developed a set of counterterrorism policies and practices and established a national agency or center to manage counterterrorism measures, guided by a legislative mandate.",1
"1445","To be held on Thursday, December 13, 2012, at 15:00",0
"1446","6. On 10 November 2011, the Commander of the Allied Joint Forces Command in Naples tasked the KFOR Commander to continue operations to establish and maintain access control points and selectively remove roadblocks along the main supply routes to the Gate 1 and DOG 31 crossing points, in order to create the conditions necessary to restore unrestricted freedom of movement and a safe and secure environment for all, pursuant to Council resolution 1244 (1999).",1
"1447","Recognizing the important role that regional and subregional arrangements play in preventing and addressing situations that may lead to genocide, war crimes and crimes against humanity, and recalling in particular article 4 (h) of the Constitutive Act of the African Union.",1
"1448","Progress has also been made in the exchange of information on these individuals - including through the International Criminal Police Organization (INTERPOL) - and in border security cooperation.",1
"1449","32. Welcomes periodic briefings by the Government of Afghanistan on the content of the List and on the impact of targeted sanctions in deterring threats to the peace, stability and security of Afghanistan, as well as supporting the Afghan-led reconciliation process.",0
"1450","Such a mechanism is necessary to fully investigate the fate of the missing.",1
"1451","Establishing support networks for victims of gender-based violence.",1
"1452","The treaty establishing the Court, the Rome Statute, entered into force on July 1, 2002.",1
"1453","The Security Council emphasizes that an inclusive political settlement and the deployment of the African Union-United Nations Hybrid Operation in Darfur (UNAMID) are essential for the restoration of peace and stability in Darfur.",1
"1454","In fact, on July 1, 2007, Rwanda joined SADC, which now enjoys a customs union.",0
"1455","106. All but one State met the deadline set by the International Civil Aviation Organization (ICAO) for the issuance of machine-readable travel documents.",1
"1456","We also hope that thanks to the cumulative diplomacy here, we can do better.",0
"1457","(k) In the light of past expenditures by the leadership, military and security services, reprioritize and allocate available resources, where necessary, to ensure freedom from hunger and other basic minimum standards for citizens, including those in the armed forces.",1
"1458","The renewed authorization followed the presentation by the Under-Secretary-General for Political Affairs of the annual report of the Secretary-General on the situation with respect to piracy and armed robbery at sea off the coast of Somalia (S/2014/740) on 22 October.",1
"1459","""Focal plane arrays"" that are not optimized for use in space...",0
"1460","Noting recent developments and initiatives at the international, regional and subregional levels to prevent and suppress international terrorism, and recognizing the work of the Global Counterterrorism Forum, in particular its recent adoption of a comprehensive set of good practices to address the phenomenon of foreign terrorist fighters and its publication of several other framework documents and good practices, including in the areas of countering violent extremism, criminal justice, prisons, kidnapping for ransom, support for victims of terrorism and community policing, to assist interested States in practical application",1
"1461","Consequently, arms trafficking networks have been forced to be more cautious about the movement of arms shipments from Yemen to Somalia through the Gulf of Aden.",1
"1462","The situation in Somalia (March 17, 1992; May 26, 2009)",0
"1463","Increased costs: Re-routing (Aseman Airlines flights)",0
"1464",":: Utilize the Trust Fund for Disarmament Activities globally and regionally to advance projects and activities immediately: Utilize the Trust Fund for Global and Regional Disarmament Activities to move projects and activities forward immediately",1
"1465","- Decree-Law No. 12/1970 on Hungary's ratification of the Treaty on the Non-Proliferation of Nuclear Weapons (NPT) and its subsequent official publication.",0
"1466","The members of the Council also considered the report of the Secretary-General (S/2000/632), which indicated that significant progress had been made on the political and economic fronts, but that there were still many challenges facing the Government of Guinea-Bissau Bissau in establishing lasting peace, stability and sustainable development.",1
"1467","22. There were no reports of children being deliberately killed by armed forces or groups.",1
"1468","The Commission was informed that an administrative investigation is being conducted by a committee established by the governor of South Darfur State in view of the gravity of the accusation and its consequences, which necessitates expediting the required measures.",1
"1469","96. The Monitoring Team examined the implementation of the arms embargo by reference to the methods used by Al-Qaida and the Taliban in their attacks.",1
"1470","The committee will allow youth to voice their issues as it serves as a forum that ensures policy consistency and promotes the interest of youth in government policies.",1
"1471","31. Both States and many international actors welcomed the openness of the universal review process and urged the 1540 Committee to continue this approach and increase its already useful efforts towards transparency and inclusiveness.",0
"1472","This interpretation is justified by the basic principles of international criminal law, which provide for individual criminal responsibility when a person commits a crime himself, as well as when he participates in other forms of criminal behavior.",0
"1473","Furthermore, the committee will set a schedule of meetings that seeks to achieve its goals efficiently and expeditiously.",0
"1474","The General Services Sections have identified office space suitable for CDM staff and offer services related to travel, visas, mail and transportation.",0
"1475","Acting Minister of Interior",0
"1476","Done at Abuja on September 16, 1999.",0
"1477","Ten people were questioned on the day of the explosion, and nearly 40 people were questioned over the next two months.",1
"1478","Building the capacity of states to prevent proliferation and respond to attacks using weapons of mass destruction",1
"1479","20. Decides that an Office of the Ombudsperson shall assist the Committee in its consideration of de-listing requests and shall be established for an initial period of 18 months from the date of adoption of this resolution, and requests the Secretary-General, in close cooperation with the Committee, to appoint an eminent person of high moral character, impartiality and integrity, with high qualifications and experience in relevant fields, such as law, human rights, counter-terrorism and sanctions, to serve as Ombudsperson highly qualified and experienced in relevant fields, such as law, human rights, counter-terrorism and sanctions, to serve as Ombudsperson, with the mandate set out in Annex II to this resolution, and further decides that the Ombudsperson shall perform the said functions in an independent and impartial manner and shall refrain from seeking or receiving instructions from any government.",1
"1480","The UNDG collaborates with the Executive Committees to support the broader goal of peacebuilding and develops policies, guidelines and procedures to improve the functioning of the UNCT network.",1
"1481","30. The Security Council Affairs Division also managed the Committee's website in accordance with its guidelines, including updating the sanctions list of the Security Council Committee established pursuant to resolution 1521 (2003).",0
"1482","63. The number and scale of terrorist attacks attributed to Al-Qaida demonstrates that the network remains active and continues to have sufficient financial resources to support its activities.",0
"1483","President al-Bashir's June 19, 2004 pledge to disarm the Janjaweed was intended to apply only to the bandits, not to the Popular Defense Forces, the People's Police, or other tribesmen armed by the state to fight the rebels.",1
"1484","I am concerned that this parliamentary vote and parliamentary deadlock could lead to the squandering of hard-won gains by Somali stakeholders and their partners.",0
"1485","But after 2011, how can anyone say that civil society is not endemic to the MENA region, I would say, everywhere.",0
"1486","Once the future status is determined, the international presence - both military and civilian - will need the necessary resources to manage the implementation of the settlement in a balanced and orderly manner.",1
"1487","In this regard, we request the African Union Commission, in close collaboration with ECOWAS and with the support of international partners, including the United Nations, the European Union and other relevant international stakeholders, to take all necessary measures, including the convening in Mali, no later than February 2015, of a meeting of Ministers of Defense and Security, Chiefs of Staff and Heads of Intelligence and Security Services of the countries of the region, to undertake the necessary studies for the establishment of these mechanisms.",0
"1488","27. FARDC remains poorly equipped and supported, and the mission believes that a stronger military presence is needed to help secure the elections in several key areas in Katanga.",0
"1489","However, these tents proved unsuitable for the harsh conditions prevailing in eastern Chad, especially during the rainy season, which runs from June to September.",0
"1490","âThe Security Council calls upon the international community to provide, as appropriate, financial and technical support as well as appropriate training for the national implementation of resolution 1325 (2000), and calls upon the United Nations system, civil society and other relevant stakeholders to cooperate and provide assistance to Member States in accordance with national priorities, in particular to States affected by armed conflict, to develop national action plans expeditiously and to work closely with national bodies responsible for implementing this resolution, including, where appropriate, through United Nations Country Teams (UNCTs).",0
"1491","12. The Minister of Justice noted the progress in the reform of the judiciary, including progress towards the establishment of the Constitutional Court, the Court of Cassation and the Council of State as envisaged in the Constitution, and emphasized the importance of establishing courts in each of the 145 regions in order to effectively restore State authority and adjudicate disputes at the local level.",1
"1492","15. Providing the means for countries to rebuild and modernize their economies is also very important.",0
"1493","Furthermore, the Group of Experts on the Democratic Republic of the Congo recommended that the Security Council Committee established pursuant to resolution 1533 (2004) immediately inform the Group and the United Nations Organization Mission in the Democratic Republic of the Congo (MONUC) of notifications received from States supplying arms to the Democratic Republic of the Congo under exceptions to the arms embargo (S/2008/43), and that the Government of the Democratic Republic of the Congo inform MONUC of such arms shipments.",1
"1494","18. The joint communiquÃ© placed an obligation on the Government to freeze restrictions on all humanitarian activities in Darfur and remove any other obstacles to humanitarian action.",1
"1495","Figures for the export of alluvial gold from Liberia show an increase in production from 5.36 ounces ($1,317.93) in October 2001 to 192.90 ounces ($4,642.19) in January 2002.",0
"1496","Surprisingly, none of the members of the parallel forces have been arrested or prosecuted for these crimes.",1
"1497","This could also lead to enhanced regional counter-terrorism cooperation.",0
"1498","The study came to the following conclusions:",0
"1499","It will also lay the groundwork for an effective firearms control mechanism, which could help authorities manage weapons possession.",1
"1500","577. Mixed tribunals established in other conflicts have followed two similar but distinct models.",1
"1501","It remains to be seen whether it can forge links with extremists in Nigeria as part of an effective alliance.",0
"1502","The police, stationed on the edge of the camp, showed no interest in confronting the Janjaweed.",1
"1503","12. The Committee will continue to organize meetings and special events on topics and issues of common interest and concern to Member States with a view to maximizing the impact of the resolutions adopted in this regard and maintaining the commitment of the international community to the fight against terrorism.",1
"1504","To be held on Wednesday, August 11, 2004, at 10 a.m.",0
"1505","States in the subregion are aware of their vulnerabilities to arms trafficking and have put in place the necessary legislative frameworks to criminalize illicit trafficking and control the production, sale, and transfer of arms and explosives.",1
"1506","Each demobilized warrior will receive a subsistence allowance of approximately US$ 940, of which 25 per cent will be paid upon demobilization; 25 per cent 45 days later; and the remainder after 90 days.",1
"1507","97. In conclusion, I would like to express my appreciation for the dedicated service of my Special Representative for the Sudan, Haile Menkerios, as well as all military, police and civilian personnel serving in UNMIS.",0
"1508","1. Denmark has the following national legislation:",0
"1509","I would like to refer to paragraph 4 of Security Council resolution 1956 (2010), which requires the Government of Iraq to submit to the Security Council no later than 1 May 2011 a written report on the progress made towards the transition to the successor mechanism of the Development Fund for Iraq. I am pleased to enclose herewith the report of the Government of Iraq containing the procedures for a full and effective transition no later than 30 June 2011 to the successor mechanism of the Development Fund for Iraq, in a manner that will enable Iraq to meet its obligation as set out in paragraph 21 of Security Council resolution 1483 (2003) (see enclosure).",1
"1510","In North Darfur, Abu Shouk, the largest IDP camp in the state, was overcrowded, with more than 20,000 people arriving as a result of violence in several locations over the past two months.",1
"1511","For these reasons, residents in Taldo temporarily prevented three members of a patrol from leaving the town.",0
"1512","A total of 12 states have taken steps to regulate the production, sale and transfer of weapons and explosives, although only two fully implement these measures.",1
"1513","(Loss of personal property (SAR 969,033)",0
"1514","On November 15, 2014, regime helicopters dropped a barrel bomb on the Omar Ibn al-Khattab Mosque in Aleppo, causing severe damage.",0
"1515","45. The International Criminal Police Organization (INTERPOL) undertook counter-terrorism capacity-building programmes in the Sahel and Horn of Africa to enhance inter-agency information-sharing, strengthen its integrated operational response in the region and expand the use of its secure communications network, databases and services.",1
"1516","(b) Contribute to the protection of civilians under imminent threat of physical violence in their areas of deployment, without prejudice to the responsibility of [the affected State] ...",1
"1517","Citizens are rewarded for informing on other citizens suspected of committing these âcrimes.â",0
"1518","The State Border Guard Service under the Ministry of the Interior of the Republic of Lithuania checks persons, vehicles and goods for radioactive substances when entering and leaving the country.",0
"1519","12. In accordance with its mandate and in close cooperation with the Security Council Committees established pursuant to resolutions 1267 (1999) and 1540 (2004), the Committee will pay particular attention to States for which information on their implementation of resolution 1373 (2001) is not available and will discuss ways to best address this issue.",0
"1520","18. Reiterates that peacekeeping and special political missions, when mandated by the Council, can provide capacity-building assistance, upon request, to host country Governments to implement their obligations under existing global and regional instruments and address the illicit trade in small arms and light weapons, including through weapons collection and disarmament, demobilization and reintegration programmes, strengthening physical security and stockpile management practices, enhancing record-keeping and tracing capacities, developing national export and import control systems, improving border security and strengthening the capacity of judicial institutions, and so on.",1
"1521","C. Start-up of the Arusha branch",0
"1522","29. UNMIK police focused on activities to ensure that all UNMIK police and KPS trainees have a working knowledge of international human rights standards in law enforcement.",1
"1523","Officials also noted that small arms and light weapons left over from previous conflicts in the region are still available.",0
"1524","This is the only mechanism established by the resolution through which certain factual information and findings in a particular case can be disclosed outside of the Office of the Ombudsperson and the Committee.",0
"1525","6. Comprehensive screening of all hand luggage.",0
"1526","A similar operation in Pristina on November 18 resulted in six arrests.",0
"1527","The situation in Guinea-Bissau (November 6, 1998; November 23, 2010)",0
"1528","Elders from both tribes, as well as Kenyan authorities, stepped in in mid-August to help resolve the conflict.",1
"1529","I gave them a list of the names of the three defendants who are the senior military leaders of this group, and I made a note that two of them had been promoted.",1
"1530","Cooperation with Malian forces and Operation Barkhane",1
"1531","3. Directs the Committee to forward to the Committee established pursuant to resolution 1988 (2011) all listing and delisting requests and proposed updates to existing information pertaining to section A (âIndividuals associated with the Talibanâ) and section B (âEntities and other groups and undertakings associated with the Talibanâ) of the Consolidated List that were under consideration by the Committee as of the date of adoption of this resolution, so that the Committee established pursuant to resolution 1988 (2011) can consider those matters in accordance with resolution 1988 (2011).",1
"1532","The last (unconfirmed) supplies were received on May 1 and 3, 2001 by Antonov 12.",0
"1533","Foreign Relations of Angola addressed to the Secretary-General",0
"1534","Two civilians were killed, four people sustained gunshot wounds, and two people sustained other serious injuries.",0
"1535","Call upon parties to armed conflict to take appropriate measures to refrain from, prevent, and protect all persons from all forms of sexual violence, including by:",0
"1536","A follow-up session to the strategic review was organized in the first half of June.",0
"1537","The Peace and Security Council faces enormous responsibilities when it begins its work.",0
"1538","Minorities, especially the Serbian minority, have a fundamental duty to fully engage in the search for solutions by utilizing every opportunity to participate in Kosovo's institutions.",0
"1539","7. Notes that such means of financing or support include, but are not limited to, the use of proceeds derived from crime, including the illicit cultivation, production and trafficking of narcotic drugs and their precursors.",0
"1540","17. The review followed a thematic approach, which included a dialogue session on specific elements, including:",0
"1541","Annex I 1. Amir Moayad Ali (involved in managing the assembly and engineering of centrifuges)",0
"1542","30. In its resolution 1963 (2010), the Security Council encouraged the Executive Directorate to work with Member States to develop comprehensive and integrated national counter-terrorism strategies and implementation mechanisms.",0
"1543","By providing additional space for victims of terrorism to contribute to the discussion, more effective help can be provided in combating incitement.",1
"1544","III. Progress towards a negotiated settlement",0
"1545","The situation in East Timor (see S/11593/Add.50 and 51; S/11935/Add.15 and 16; S/1999/25/Add.17, 22, 25, 30, 33-36, 42 and 50; and S/2000/40/Add.4, 11, 16 and 20)",0
"1546","The two governments are key partners of the Committee in its efforts to make the system more effective and risk-focused, and have offered many useful suggestions and provided detailed updates to the Panel.",1
"1547","Decides that [the mission] shall have the following mandate ...: (e) To work closely with the Government to ensure the implementation of its commitments to address grave violations against children, in particular the finalization of the action plan for the release and prevention of further recruitment of children in the ranks of [armed forces], with the support of the monitoring and reporting mechanism.",1
"1548","5. The international community has achieved significant success in its efforts to combat Somali piracy thanks to close cooperation between and among States, regions, organizations, the shipping industry, the private sector, think tanks and civil society.",1
"1549","This affects the Mission's ability to rapidly mobilize uniformed personnel to protect civilians at risk in the west, should the situation require it, as well as to support the activities of the country team more broadly.",1
"1550","Indeed, the 1540 Committee appears well positioned to foster cooperation among these entities and explore funding opportunities.",1
"1551","The constitution stipulates that the president is the guarantor of national unity.",0
"1552","However, in the past two and a half years, Eritrea's position on Somalia has proven to be more realistic and correct.",0
"1553","Urge troop- and police-contributing countries to take appropriate action to prevent sexual exploitation and abuse by their personnel, including conducting predeployment and field awareness training and promoting and ensuring compliance with the Secretary-General's Bulletin on special measures for protection from sexual exploitation and sexual abuse (ST/SGB/2003/13).",0
"1554","The Security Council must now seek to reassure the courts that the sanctions regime established pursuant to resolution 1267 (1999) (the 1267 sanctions regime) is impartial and, with increasing support from Member States, reaffirm the original purpose of the regime: to rid the world of the threat of terrorism posed by Al-Qaida, the Taliban and their listed associates.",1
"1555","More efforts must be made by the Haitian government and international humanitarian organizations in preventive activities, such as the provision of sanitation and clean water.",0
"1556",":: The results of the activities carried out by the Lebanese authorities at the crime scene and nearby areas: Results of the activities carried out by the Lebanese authorities at the crime scene and nearby areas",1
"1557","27. Decides that when a designating State submits a delisting request, the requirement for States to take the measures described in paragraph 1 of this resolution with respect to the individual, group, undertaking or entity in question shall terminate after 60 days, unless the Committee decides by consensus before the end of that 60-day period that those measures shall remain in place with respect to the individual, group, undertaking or entity; provided that in the absence of consensus, the Chair shall, at the request of a Committee member, bring the question of whether to decide to delist the individual, group, undertaking or entity to the Security Council for resolution within a period of 60 days",1
"1558","Exemptions are provided for supplies of arms and related lethal materiel destined for the Ivorian security forces, intended solely for use in the framework of the security sector reform process in CÃ´te d'Ivoire, subject to prior notification to the Committee.",1
"1559","To perform a comprehensive evaluation of the work of charitable organizations and laboratories.",0
"1560","Details will be determined as part of a future planning process.",0
"1561","France, Portugal, Sweden, and the United Kingdom",0
"1562","Hezbollah's retention of significant and sophisticated military capabilities beyond the control of the Government of Lebanon creates an overtly threatening atmosphere and represents a major challenge to the safety of Lebanese civilians and to the government's exclusive right to the legitimate use of force.",0
"1563","Two of them later announced their resignation from the party.",0
"1564","Develop and implement a gender policy statement, a comprehensive gender policy and a management action plan for gender mainstreaming that identifies objectives, activities, indicators and time frames for each functional area; develop training tools and guidelines.",1
"1565","5. The framework is based on the premise that the leadership and implementation of the peace process must be in the hands of the people of Darfur and the parties to the conflict, with the United Nations, the African Union and international partners playing a facilitating role.",1
"1566","Sites range from those created to promote specific individuals such as Shamil Basayev in Chechnya or groups such as Lashkar-e-Tayyiba in Pakistan, to those aimed at justifying al-Qaeda-related terrorism in general such as Sawt al-Jihad, or those offering terrorist training such as al-Battar.",0
"1567","Another area where the Executive Directorate sees room for further work is strengthening the integration of a human rights approach into counter-terrorism programs.",1
"1568","215. All States have enacted legislation regulating the production, sale and transfer of arms and explosives.",1
"1569","In this context, I also note that President Abbas referred to the Palestinian Authority's request to establish a Palestinian diplomatic mission in Beirut, which would contribute to formalizing relations between the Lebanese and Palestinian peoples.",1
"1570","6. Encourages Member States to provide financial resources for the IGAD mission.",0
"1571","Also in the possession of the defense forces were one Minimi, one .38 Special pistol, one 9mm Browning pistol, two G3 semi-automatic rifles, one M16 A1 rifle, and one M2 .50 caliber weapon, all of which came from an unknown source.",0
"1572","They also reiterated their deep concern about the problems of terrorism, piracy, hostage-taking and the dire humanitarian situation. In this context, they emphasized the need for the speedy implementation of all relevant Security Council resolutions, including by the Transitional Federal Institutions, as appropriate.",0
"1573","The Democratic People's Republic of Korea categorically rejects the resolution on human rights fabricated against the DPRK on the basis of machinations, lies and disinformation and adopted under the coercion of the United States and other hostile countries in an arbitrary and tyrannical manner.",0
"1574","Seventeen countries said they did not consider themselves threatened, while three said they believed there was no regional threat.",0
"1575","However, the two sides cannot afford to leave this issue unresolved for much longer.",0
"1576","The second phase is expected to begin in early spring. On April 8, Working Group III met for the first time in 18 months in Sukhumi under the chairmanship of the UNDP Resident Coordinator.",0
"1577","Operating reserve as of December 31, 2009",0
"1578",":: Assessing the progress of the peacebuilding process: Assess progress in the peacebuilding process before considering decisions on UN withdrawal and/or transition from one form of engagement to another, which could include: (a) the level of support and commitment of the international community; (b) ways to strengthen the capacity of United Nations country teams to enable them to continue to support long-term peacebuilding efforts in countries on the agenda; and (c) the opportunities and risks to peace consolidation for specific countries.",1
"1579","The effective functioning of the court is a prerequisite for reversing the prevailing impunity in Darfur.",1
"1580","Chapter 3 of Law No. 535/2004 is devoted to measures to prevent the financing of terrorist acts.",1
"1581","The Council also expressed its intention to consider, when establishing the mandate, amending or reviewing relevant sanctions regimes, the issue of including provisions relating to parties to armed conflict that engage in activities in violation of applicable international law relating to the rights and protection of children in armed conflict.",0
"1582","3. Calls upon all States:",0
"1583","In paragraph 3 of that resolution, the Council requested me, in consultation with the Committee established pursuant to resolution 751 (1992) concerning Somalia and within 30 days of the adoption of that resolution, to re-establish the Monitoring Group referred to in paragraph 3 of resolution 1558 (2004) for a period of six months, with the mandate set out in subparagraphs 3 (a) to (i) of resolution 1630 (2005).",0
"1584",":: Regular coordination between civilian and military components of missions, and between missions and humanitarian actors: Regular coordination between the civilian and military components of missions, and between missions and humanitarian actors, to standardize expertise in the field of protection of civilians.",1
"1585","It has therefore been limited to collecting credible information on individuals who may be suspected of being responsible for committing crimes in Darfur.",1
"1586","I would like to make three points on these issues.",0
"1587","On August 30, 2010, the SPLA established a child protection unit in Belpham, Central Equatoria State in support of the implementation of the UN-SPLA Action Plan.",1
"1588","34. Decides to review the implementation of the measures outlined in this resolution after eighteen months and to make adjustments, as appropriate, to support peace and stability in Afghanistan.",0
"1589","4. In accordance with past practice, the representative of Austria, in his capacity as Chairman of the Working Group, briefed the Security Council on the progress made by the Working Group as part of his presentations to the biannual public meetings of the Security Council to hear briefings on the completion strategies of the Tribunals, on 4 June (S/PV.6134) and 3 December 2009 (S/PV.6228).",0
"1590","Over the past few years, regional mechanisms for law enforcement cooperation, including early warning and intelligence cooperation, have been put in place and have significantly increased the level of regional cooperation.",1
"1591","The procedural history of the ""E3"" claims is summarized in paragraphs 10 to 18 of the Summary.",0
"1592","22. Also recognizes the need for comprehensive operational guidance on the tasks and responsibilities of peacekeeping missions in implementing protection of civilians mandates, further recognizes the need to ensure that operational guidance is systematically reflected in appropriate mission-wide planning, training and strategic documents, and requests the Secretary-General to develop, in close consultation with Member States, including troop and police contributors and other relevant actors, an operational concept for the protection of civilians and to report on progress.",1
"1593","66. Through the United Nations Rule of Law and Security Program, technical and financial support has been provided to a law enforcement seminar and training workshop for the Somali Police Force in Kampala since August 2005.",1
"1594","Earlier this month, Prime Minister Fayyad circulated a summary of the Palestinian Reform and Development Plan 2008-2010.",0
"1595","In this regard, the Directorate, in cooperation with the International Counter-Terrorism Centre and with the support of the Netherlands, organized its second workshop on the implementation of resolution 1624 (2005) in July 2012 in Rabat.",1
"1596","The Council intends to intensify its efforts to combat impunity and support accountability for serious crimes against women and girls by providing appropriate means, and draws attention to the full range of justice and reconciliation mechanisms to be considered, including national, international and mixed national, international and mixed criminal courts and tribunals, truth and reconciliation commissions, as well as national victim compensation programs, institutional reforms and traditional dispute resolution mechanisms.",1
"1597",":: The Plant Protection Law No. 15 of 2005",0
"1598","It also comes after UN envoy Kofi Annan began his diplomatic efforts to reach a political solution to the Syrian crisis, away from the language of threats and foreign intervention, and in light of Syria's acceptance of Mr. Annan's mission and the opposition parties' rejection of the mission or the many obstacles aimed at thwarting it.",0
"1599","The other two countries introduced anti-terrorism laws more than five years ago, but no investigations or prosecutions have been reported.",1
"1600","60. Decides to extend the mandate of the current New York-based Monitoring Team established pursuant to paragraph 7 of resolution 1526 (2004) and the mandate of its members for an additional period of 30 months in order to assist the Committee in the implementation of its mandate and to support the Ombudsperson, and that the Team, under the direction of the Committee, shall carry out the responsibilities set out in annex I, and requests the Secretary-General to make the necessary arrangements to this effect.",1
"1601","Requesting additional extrabudgetary resources to establish a gender counselor position at headquarters.",1
"1602","Despite evidence of strengthened internal disciplinary mechanisms in the PNTL, progress has been slow in bringing members of the security services responsible for abuses to justice through the courts.",1
"1603","These exports brought $369,793.33 to the Liberian treasury (annex 4).",0
"1604","Police and security services should be authorized to use special investigative techniques - with due regard for human rights considerations - in terrorism-related investigations and in gathering evidence for counter-terrorism cases.",1
"1605","(vi) Deferred charges normally comprise expenditure items that are not properly chargeable to the current financial period. They are charged as expenditure in a subsequent period.",0
"1606","âThe Council recalls its resolution 1645 (2005) and recognizes the important role of the Peacebuilding Commission in promoting and supporting an integrated and coherent approach to peacebuilding, including promoting better policy coherence and alignment among partners on national peacebuilding strategies and priorities. The Security Council reiterates its support for the work of the Peacebuilding Commission and expresses its continued willingness to benefit from its advisory, advocacy and resource mobilization role, including through targeted advice on international and national commitment to long-term peacebuilding objectives in listed countries",0
"1607","377. Torture and cruel treatment are prohibited under General Article 3 of the Geneva Conventions.",1
"1608","UNMIN arms monitoring specialists registered and supervised the storage of the Maoist army's weapons for round-the-clock monitoring.",1
"1609","Recognizing also the concurrent recommendation of the Commission that there is a need for continued international assistance and assistance to the Lebanese authorities to unravel the full extent of this terrorist act and that a sustained effort by the international community to establish a programme of assistance and cooperation with the Lebanese authorities in the field of security and justice is essential.",1
"1610","Both parties, within the framework of the UNHCR, will further explore the possibility of conducting family visits by road.",1
"1611","CTED has facilitated workshops on border control management in a number of regions and intends to continue this practice in the future. 268. Member States should (a) Implement more effective prevention, inspection and detection procedures, relying on risk assessments, intelligence sharing and analysis and international cooperation at official border crossings and along open or porous borders.",1
"1612","47. The government has made several efforts to prevent and control diseases and pests.",1
"1613","October 5-6, 2012 (Yayladagah/Hatay): At approximately 1430 hours, a mortar shell landed in an area within the area of responsibility of the BelingÃ¶z Military Border Post.",0
"1614","28. The Committee recognizes that it has taken only the first steps towards achieving this goal, owing mainly to the delayed staffing of the Executive Directorate.",1
"1615","The participants committed to uniting efforts to combat Boko Haram and pledged to complete the construction of a multinational joint force headquarters in Nigeria by November 20, and to deploy a military force within national borders with each country contributing a 700-strong contingent.",1
"1616","(i) Contribute to the protection of civilians in danger, particularly refugees and displaced persons.",1
"1617","The value of Project 1101 was $254,516,095.",0
"1618","On an exceptional basis, Executive Directors discuss issues related to the situation of women in various conflict-affected areas, including gender-based violence and sexual exploitation and abuse.",1
"1619",":: Improving the quality of health care: Improving health care.",0
"1620","As a first step, I asked Mr. van Walsum to establish contacts with the parties and neighboring States to ascertain their views on the way forward.",1
